method,label,noise_name,seed,budget_fraction,dwga_swapped,dwga_original,dwga_diff
noise_score_cpba_only,CPBA-only,minority_high_40,2,0.02,0.0233644859813083,0.0031152647975077,0.020249221183800598
noise_score_cpba_only,CPBA-only,minority_high_40,2,0.05,0.0732087227414329,0.1884735202492211,-0.11526479750778819
noise_score_cpba_only,CPBA-only,minority_high_40,2,0.1,0.0669781931464174,0.1510903426791277,-0.08411214953271029
noise_score_cpba_only,CPBA-only,minority_high_40,3,0.005,0.0031152647975077,0.0093457943925233,-0.0062305295950156
noise_score_cpba_only,CPBA-only,minority_high_40,3,0.01,0.0124610591900311,0.0903426791277258,-0.0778816199376947
noise_score_cpba_only,CPBA-only,minority_high_40,3,0.02,0.0150893480047799,0.099395597184519,-0.0843062491797391
noise_score_cpba_only,CPBA-only,minority_high_40,3,0.05,0.0057767094238486,0.1184643333264258,-0.1126876239025772
noise_score_cpba_only,CPBA-only,minority_high_40,3,0.1,0.0456880176278398,0.1118124486257607,-0.0661244309979209
noise_score_cpba_only,CPBA-only,minority_high_40,4,0.005,-0.0482866043613707,0.0186915887850467,-0.0669781931464174
noise_score_cpba_only,CPBA-only,minority_high_40,4,0.01,-0.0404984423676012,0.0295950155763239,-0.0700934579439251
noise_score_cpba_only,CPBA-only,minority_high_40,4,0.02,0.0763239875389408,0.0700934579439252,0.006230529595015605
noise_score_cpba_only,CPBA-only,minority_high_40,4,0.05,0.1508416740921869,0.2772585669781932,-0.12641689288600627
noise_score_cpba_only,CPBA-only,minority_high_40,4,0.1,0.1495327102803738,0.2429906542056075,-0.09345794392523371
noise_score_cpba_only,CPBA-only,minority_high_40,5,0.005,0.0015576323987538,0.0155763239875389,-0.014018691588785099
noise_score_cpba_only,CPBA-only,minority_high_40,5,0.01,0.0093457943925233,0.1881412713872253,-0.178795476994702
noise_score_cpba_only,CPBA-only,minority_high_40,5,0.02,0.0249221183800623,0.1183800623052959,-0.0934579439252336
noise_score_cpba_only,CPBA-only,minority_high_40,5,0.05,0.1062353648175394,0.1863674354670479,-0.0801320706495085
noise_score_cpba_only,CPBA-only,minority_high_40,5,0.1,0.0093457943925233,0.2271656616311277,-0.2178198672386044
noise_score_cpba_only,CPBA-only,minority_high_40,6,0.005,0.0062305295950155,0.0109034267912772,-0.004672897196261701
