dataset,noise,budget_fraction,method,n_absolute_seeds,absolute_delta_wga,absolute_ci_low,absolute_ci_high,n_paired_loss_seeds,delta_wga_vs_loss,paired_ci_low,paired_ci_high
Waterbirds,uniform20,0.1,noise_score_budget_hybrid_v8,10,0.0586777047889425,0.026290633194430826,0.09106477638345417,10,0.048708857436917566,0.016771477677411606,0.08064623719642353
Waterbirds,uniform20,0.005,noise_score_cpba_only,10,0.00514018691588785,-0.013056032281116639,0.02333640611289234,10,-0.02474383681814723,-0.051931734246059666,0.002444060609765205
Waterbirds,uniform20,0.01,noise_score_cpba_only,10,0.01137071651090341,-0.005803640958370358,0.028545073980177176,10,0.009968847352024912,-0.006610016225733501,0.026547710929783325
Waterbirds,uniform20,0.02,noise_score_cpba_only,10,0.031028451830822434,0.009477845511287504,0.05257905815035736,10,0.023639195695270433,-0.006154625584766187,0.05343301697530706
Waterbirds,uniform20,0.05,noise_score_cpba_only,10,0.049550876902141966,0.00974093302085973,0.0893608207834242,10,0.02152938088429312,-0.01626302572231826,0.0593217874909045
Waterbirds,uniform20,0.1,noise_score_cpba_only,10,0.029416941238231402,-0.007216029905161396,0.06604991238162419,10,0.019448093886206476,-0.007759743535045473,0.046655931307458424
Waterbirds,uniform20,0.005,noise_score_cpba_tc_no_fallback,10,0.00514018691588785,-0.013056032281116639,0.02333640611289234,10,-0.02474383681814723,-0.051931734246059666,0.002444060609765205
Waterbirds,uniform20,0.01,noise_score_cpba_tc_no_fallback,10,0.01137071651090341,-0.005803640958370358,0.028545073980177176,10,0.009968847352024912,-0.006610016225733501,0.026547710929783325
Waterbirds,uniform20,0.02,noise_score_cpba_tc_no_fallback,10,0.031028451830822434,0.009477845511287504,0.05257905815035736,10,0.023639195695270433,-0.006154625584766187,0.05343301697530706
Waterbirds,uniform20,0.05,noise_score_cpba_tc_no_fallback,10,0.04636978400370239,0.01889636598333108,0.0738432020240737,10,0.01834828798585354,-0.007694215560738401,0.044390791532445475
Waterbirds,uniform20,0.1,noise_score_cpba_tc_no_fallback,10,0.03846219201359384,-0.010097206708084672,0.08702159073527235,10,0.02849334466156892,-0.012397306061575901,0.06938399538471374
Waterbirds,uniform20,0.005,noise_score_cpba_tc_v8_fallback,10,0.00514018691588785,-0.013056032281116639,0.02333640611289234,10,-0.02474383681814723,-0.051931734246059666,0.002444060609765205
Waterbirds,uniform20,0.01,noise_score_cpba_tc_v8_fallback,10,0.01137071651090341,-0.005803640958370358,0.028545073980177176,10,0.009968847352024912,-0.006610016225733501,0.026547710929783325
Waterbirds,uniform20,0.02,noise_score_cpba_tc_v8_fallback,10,0.031028451830822434,0.009477845511287504,0.05257905815035736,10,0.023639195695270433,-0.006154625584766187,0.05343301697530706
Waterbirds,uniform20,0.05,noise_score_cpba_tc_v8_fallback,10,0.03370599084070699,0.007230415764664204,0.06018156591674977,10,0.005684494822858139,-0.017162311731549994,0.02853130137726627
Waterbirds,uniform20,0.1,noise_score_cpba_tc_v8_fallback,10,0.0551792831437235,0.014761583063955142,0.09559698322349186,10,0.045210435791698575,0.006941480943572699,0.08347939063982446
Waterbirds,uniform20,0.005,oracle_noise_group_balanced,10,0.022897196261682212,0.007791269589960015,0.03800312293340441,10,-0.006986827472352866,-0.028906511826844825,0.014932856882139092
Waterbirds,uniform20,0.01,oracle_noise_group_balanced,10,0.05747663551401864,0.03627991353992781,0.07867335748810947,10,0.056074766355140124,0.03209005375489711,0.08005947895538314
Waterbirds,uniform20,0.02,oracle_noise_group_balanced,10,0.07990654205607474,0.04897339086302555,0.11083969324912393,10,0.07251728592052273,0.030686591674438282,0.11434798016660717
Waterbirds,uniform20,0.05,oracle_noise_group_balanced,10,0.11040056364879702,0.07520845077798215,0.14559267651961189,10,0.08237906763094818,0.050589839399915335,0.11416829586198103
Waterbirds,uniform20,0.1,oracle_noise_group_balanced,10,0.11404639050638592,0.07900739507812447,0.14908538593464737,10,0.10407754315436099,0.0764094811237528,0.1317456051849692
Waterbirds,minority_high_40,0.005,random,10,0.017703821898032053,-0.002813159419710127,0.03822080321577423,10,0.00925599740279478,-0.011036345427119816,0.02954834023270938
Waterbirds,minority_high_40,0.01,random,10,0.015500410993914502,-0.006001597151336031,0.037002419139165035,10,0.007876853789778322,-0.03137199545589053,0.04712570303544718
Waterbirds,minority_high_40,0.02,random,10,0.01254816227006789,-0.008973196506445073,0.034069521046580856,10,0.01345939449199079,-0.02656323007703655,0.05348201906101813
Waterbirds,minority_high_40,0.05,random,10,0.010012709727776941,-0.011587132856682853,0.03161255231223674,10,0.006810272775624959,-0.029973599237219387,0.043594144788469305
Waterbirds,minority_high_40,0.1,random,10,0.00947731244517203,-0.016635901186056647,0.0355905260764007,10,0.03770036816765793,-0.0484274689998848,0.12382820533520066
Waterbirds,minority_high_40,0.005,loss,10,0.008447824495237271,-0.003940569128823004,0.020836218119297548,10,0.0,0.0,0.0
Waterbirds,minority_high_40,0.01,loss,10,0.007623557204136181,-0.025090271836268715,0.04033738624454108,10,0.0,0.0,0.0
