dataset,noise,budget,budget_fraction,method,method_label,n_seeds,dWGA_mean,dWGA_sem,dWGA_min,dWGA_max,dWGA_neg_pct,noise_precision,minority_query_rate,wga_mean
Waterbirds,minority_high_40,1.0%,0.01,tracin_val_uncertainty,TracIn-CP (val),10,0.029,0.016,-0.0296,0.1106,40.0,0.9875,0.0333,0.5152
Waterbirds,minority_high_40,1.0%,0.01,tracin_noise_weighted,TracIn-CP (noise),10,0.032,0.0214,-0.0265,0.1745,40.0,0.7563,0.2458,0.5183
Waterbirds,minority_high_40,1.0%,0.01,noise_score,NoiseScore,10,0.0364,0.0225,-0.0717,0.1881,20.0,0.2958,0.5813,0.4931
Waterbirds,minority_high_40,1.0%,0.01,noise_score_budget_hybrid,BHC,10,0.0364,0.0225,-0.0717,0.1881,20.0,0.2958,0.5813,0.4931
Waterbirds,minority_high_40,1.0%,0.01,NGC,NGC,10,0.0364,0.0225,-0.0717,0.1881,20.0,0.2958,0.5813,0.4931
Waterbirds,minority_high_40,1.0%,0.01,noise_score_cpba_tc,CPBA-TC,10,0.0364,0.0225,-0.0717,0.1881,20.0,0.2958,0.5813,0.4931
Waterbirds,minority_high_40,1.0%,0.01,CPBA-only,CPBA-only,10,0.0364,0.0225,-0.0717,0.1881,20.0,0.2958,0.5813,0.4931
Waterbirds,minority_high_40,1.0%,0.01,noise_score_tc_only,TC-only,10,0.0364,0.0225,-0.0717,0.1881,20.0,0.2958,0.5813,0.4931
Waterbirds,minority_high_40,1.0%,0.01,CPBA-TC-noFB,CPBA-TC-noFB,10,0.0364,0.0225,-0.0717,0.1881,20.0,0.2958,0.5813,0.4931
Waterbirds,minority_high_40,1.0%,0.01,CPBA-TC-Guarded,CPBA-TC-Safe,10,0.0364,0.0225,-0.0717,0.1881,20.0,0.2958,0.5813,0.4931
Waterbirds,minority_high_40,1.0%,0.01,oracle_noise_group_balanced,Oracle-GB,10,0.0607,0.0133,0.0016,0.1277,0.0,1.0,0.5,0.5174
Waterbirds,minority_high_40,2.0%,0.02,random,Random,10,0.0084,0.007,-0.0078,0.0668,60.0,0.1146,0.051,0.4651
Waterbirds,minority_high_40,2.0%,0.02,loss,Loss,10,-0.0216,0.0207,-0.109,0.1433,90.0,0.9917,0.0115,0.4351
Waterbirds,minority_high_40,2.0%,0.02,entropy,Entropy,10,0.0468,0.021,-0.028,0.1988,10.0,0.2406,0.4406,0.5035
Waterbirds,minority_high_40,2.0%,0.02,forgetting,Forgetting,10,0.0685,0.0173,0.0031,0.1869,0.0,0.425,0.4583,0.5547
Waterbirds,minority_high_40,2.0%,0.02,margin,Margin,10,-0.0017,0.02,-0.1464,0.0725,60.0,0.9917,0.0073,0.4845
Waterbirds,minority_high_40,2.0%,0.02,aum,AUM,10,0.0094,0.0221,-0.1511,0.0903,30.0,0.9927,0.0062,0.4956
Waterbirds,minority_high_40,2.0%,0.02,confident_learning,Cleanlab,10,-0.0017,0.02,-0.1464,0.0725,60.0,0.9917,0.0073,0.4845
Waterbirds,minority_high_40,2.0%,0.02,coreset,Coreset-Lite,10,0.0072,0.0077,-0.0187,0.0725,40.0,0.0177,0.0531,0.4935
Waterbirds,minority_high_40,2.0%,0.02,uncertainty_diversity,Unc+Div-Lite,10,0.0442,0.0189,-0.0234,0.1667,30.0,0.3,0.3146,0.5304
Waterbirds,minority_high_40,2.0%,0.02,badge_lite,BADGE-Lite,10,0.0096,0.0107,-0.0358,0.0845,50.0,0.9063,0.0312,0.4958
Waterbirds,minority_high_40,2.0%,0.02,tracin_val_uncertainty,TracIn-CP (val),10,0.0065,0.0227,-0.0841,0.1417,40.0,0.9708,0.0427,0.4927
Waterbirds,minority_high_40,2.0%,0.02,tracin_noise_weighted,TracIn-CP (noise),10,0.05,0.0268,-0.0592,0.2212,40.0,0.7771,0.201,0.5362
Waterbirds,minority_high_40,2.0%,0.02,noise_score,NoiseScore,10,0.0508,0.0123,0.002,0.1184,0.0,0.501,0.4479,0.5075
Waterbirds,minority_high_40,2.0%,0.02,noise_score_budget_hybrid,BHC,10,0.0508,0.0123,0.002,0.1184,0.0,0.501,0.4479,0.5075
Waterbirds,minority_high_40,2.0%,0.02,NGC,NGC,10,0.0508,0.0123,0.002,0.1184,0.0,0.501,0.4479,0.5075
Waterbirds,minority_high_40,2.0%,0.02,noise_score_cpba_tc,CPBA-TC,10,0.0508,0.0123,0.002,0.1184,0.0,0.501,0.4479,0.5075
Waterbirds,minority_high_40,2.0%,0.02,CPBA-only,CPBA-only,10,0.0508,0.0123,0.002,0.1184,0.0,0.501,0.4479,0.5075
Waterbirds,minority_high_40,2.0%,0.02,noise_score_tc_only,TC-only,10,0.0508,0.0123,0.002,0.1184,0.0,0.501,0.4479,0.5075
Waterbirds,minority_high_40,2.0%,0.02,CPBA-TC-noFB,CPBA-TC-noFB,10,0.0508,0.0123,0.002,0.1184,0.0,0.501,0.4479,0.5075
Waterbirds,minority_high_40,2.0%,0.02,CPBA-TC-Guarded,CPBA-TC-Safe,10,0.0508,0.0123,0.002,0.1184,0.0,0.501,0.4479,0.5075
Waterbirds,minority_high_40,2.0%,0.02,oracle_noise_group_balanced,Oracle-GB,10,0.1065,0.0223,0.0171,0.243,0.0,1.0,0.4896,0.5632
Waterbirds,minority_high_40,5.0%,0.05,random,Random,10,0.0055,0.0084,-0.0187,0.0735,30.0,0.12,0.0529,0.4622
Waterbirds,minority_high_40,5.0%,0.05,loss,Loss,10,-0.0525,0.0185,-0.1526,0.0561,90.0,0.9804,0.0187,0.4042
Waterbirds,minority_high_40,5.0%,0.05,entropy,Entropy,10,0.1003,0.021,0.0125,0.2227,0.0,0.2279,0.4108,0.557
Waterbirds,minority_high_40,5.0%,0.05,forgetting,Forgetting,10,0.0395,0.0191,-0.0857,0.1441,20.0,0.7167,0.2125,0.5257
Waterbirds,minority_high_40,5.0%,0.05,margin,Margin,10,-0.0117,0.0224,-0.1511,0.067,50.0,0.9837,0.0158,0.4745
Waterbirds,minority_high_40,5.0%,0.05,aum,AUM,10,0.0063,0.0191,-0.0826,0.0748,40.0,0.9846,0.0142,0.4925
Waterbirds,minority_high_40,5.0%,0.05,confident_learning,Cleanlab,10,-0.0117,0.0224,-0.1511,0.067,50.0,0.9837,0.0158,0.4745
Waterbirds,minority_high_40,5.0%,0.05,coreset,Coreset-Lite,10,0.0105,0.0109,-0.0343,0.0865,40.0,0.0179,0.06,0.4967
Waterbirds,minority_high_40,5.0%,0.05,uncertainty_diversity,Unc+Div-Lite,10,0.0713,0.016,-0.0078,0.1417,10.0,0.2762,0.2971,0.5575
Waterbirds,minority_high_40,5.0%,0.05,badge_lite,BADGE-Lite,10,0.0189,0.0165,-0.0826,0.0974,30.0,0.7575,0.0575,0.5051
Waterbirds,minority_high_40,5.0%,0.05,tracin_val_uncertainty,TracIn-CP (val),10,-0.0412,0.0168,-0.1012,0.0421,70.0,0.9271,0.0658,0.445
Waterbirds,minority_high_40,5.0%,0.05,tracin_noise_weighted,TracIn-CP (noise),10,0.0004,0.0307,-0.0903,0.1994,60.0,0.8154,0.1517,0.4866
Waterbirds,minority_high_40,5.0%,0.05,noise_score,NoiseScore,10,0.0424,0.023,-0.0387,0.1656,40.0,0.3858,0.3621,0.4991
Waterbirds,minority_high_40,5.0%,0.05,noise_score_budget_hybrid,BHC,10,0.0438,0.0119,-0.0218,0.0936,10.0,0.3187,0.3583,0.5005
Waterbirds,minority_high_40,5.0%,0.05,NGC,NGC,10,0.0424,0.023,-0.0387,0.1656,40.0,0.3858,0.3621,0.4991
Waterbirds,minority_high_40,5.0%,0.05,noise_score_cpba_tc,CPBA-TC,10,0.0578,0.0319,-0.0387,0.2352,40.0,0.45,0.3583,0.5145
